record_type,path,parent_path,sweep_id,filigree_task,risk_rating,priority,loc,tracked_files,max_child_risk,risk_factors
file,src/elspeth/web/frontend/src/components/shared/SharedAuditReadinessPanel.tsx,src/elspeth/web/frontend/src/components/shared,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,5,P1,140,,,chunk:S-FRONTEND-COMPONENTS; dense boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/shared/SharedInspectView.test.tsx,src/elspeth/web/frontend/src/components/shared,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,400,,,chunk:S-FRONTEND-COMPONENTS; dense boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/shared/SharedInspectView.tsx,src/elspeth/web/frontend/src/components/shared,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,5,P1,260,,,chunk:S-FRONTEND-COMPONENTS; dense boundary/audit/config vocabulary
folder,src/elspeth/web/frontend/src/components/sidebar/,src/elspeth/web/frontend/src/components,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,1618,16,4,rollup:S-FRONTEND-COMPONENTS; files:16; max_child_risk:4; avg_child_risk:3.50; test/support file under src=8; capped<=3=8; boundary/audit/config vocabulary=5; load-bearing/debt comments=1
file,src/elspeth/web/frontend/src/components/sidebar/CatalogButton.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,29,,,chunk:S-FRONTEND-COMPONENTS; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/CatalogButton.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,17,,,chunk:S-FRONTEND-COMPONENTS
file,src/elspeth/web/frontend/src/components/sidebar/ExecuteButton.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,233,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/ExecuteButton.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,112,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/sidebar/ExportYamlButton.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,38,,,chunk:S-FRONTEND-COMPONENTS; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/ExportYamlButton.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,19,,,chunk:S-FRONTEND-COMPONENTS
file,src/elspeth/web/frontend/src/components/sidebar/ExportYamlModal.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,109,,,chunk:S-FRONTEND-COMPONENTS; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/ExportYamlModal.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,70,,,chunk:S-FRONTEND-COMPONENTS
file,src/elspeth/web/frontend/src/components/sidebar/GraphMiniView.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,78,,,chunk:S-FRONTEND-COMPONENTS; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/GraphMiniView.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,134,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/sidebar/GraphModal.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,107,,,chunk:S-FRONTEND-COMPONENTS; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/GraphModal.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,70,,,chunk:S-FRONTEND-COMPONENTS
file,src/elspeth/web/frontend/src/components/sidebar/SideRail.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,149,,,chunk:S-FRONTEND-COMPONENTS; load-bearing/debt comments; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/SideRail.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,44,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/sidebar/SideRailValidationBanner.test.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,304,,,chunk:S-FRONTEND-COMPONENTS; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/sidebar/SideRailValidationBanner.tsx,src/elspeth/web/frontend/src/components/sidebar,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,105,,,chunk:S-FRONTEND-COMPONENTS
folder,src/elspeth/web/frontend/src/components/tutorial/,src/elspeth/web/frontend/src/components,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,2430,14,4,rollup:S-FRONTEND-COMPONENTS; files:14; max_child_risk:4; avg_child_risk:3.71; boundary/audit/config vocabulary=11; test/support file under src=3; capped<=3=3; load-bearing/debt comments=1
file,src/elspeth/web/frontend/src/components/tutorial/HelloWorldTutorial.test.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,301,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/tutorial/HelloWorldTutorial.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,160,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn1Welcome.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,50,,,chunk:S-FRONTEND-COMPONENTS
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn2Describe.test.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,3,P2,272,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary; test/support file under src; capped<=3
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn2Describe.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,319,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn2bShowBuilt.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,111,,,chunk:S-FRONTEND-COMPONENTS
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn3Graph.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,96,,,chunk:S-FRONTEND-COMPONENTS
file,src/elspeth/web/frontend/src/components/tutorial/TutorialTurn4Run.tsx,src/elspeth/web/frontend/src/components/tutorial,S-FRONTEND-COMPONENTS,elspeth-7efbb06f86,4,P1,326,,,chunk:S-FRONTEND-COMPONENTS; boundary/audit/config vocabulary
